name,kind,weight,threshold_lambda,oof_qwk,oof_lift_vs_step25,test_l1,pub_dist,pri_dist,changed,improved,worsened,mean_delta_abs_error,risky_promotions,core_demotions,public_changed,private_changed,thresholds
step25_openalex_anchor_blend_w0p0075_l4p0,label_blend,0.0075,4.0,0.6600166686606125,-0.001243889718620439,0.189176170460111,"{1: 126, 2: 64, 3: 51, 4: 35, 5: 22}","{1: 138, 2: 67, 3: 41, 4: 29, 5: 23}",60,29,31,-0.03333333333333333,0,9,10,13,"1.912929,2.548325,3.254897,4.087071"
step25_openalex_anchor_resid_w0p0075_l4p0,residual_blend,0.0075,4.0,0.6600166686606125,-0.001243889718620439,0.189176170460111,"{1: 126, 2: 64, 3: 51, 4: 35, 5: 22}","{1: 138, 2: 67, 3: 41, 4: 29, 5: 23}",60,29,31,-0.03333333333333333,0,9,10,13,"1.912929,2.548325,3.254897,4.087071"
step25_pairwise_specter2_blend_w0p0200_l4p0,label_blend,0.02,4.0,0.6600155338002637,-0.001245024578969245,0.17575335166816464,"{1: 124, 2: 63, 3: 54, 4: 35, 5: 22}","{1: 138, 2: 66, 3: 40, 4: 31, 5: 23}",53,25,28,-0.05660377358490566,0,11,5,10,"1.910875,2.540613,3.250610,4.092211"
step25_pairwise_specter2_resid_w0p0200_l4p0,residual_blend,0.02,4.0,0.6600155338002637,-0.001245024578969245,0.17575335166816464,"{1: 124, 2: 63, 3: 54, 4: 35, 5: 22}","{1: 138, 2: 66, 3: 40, 4: 31, 5: 23}",53,25,28,-0.05660377358490566,0,11,5,10,"1.910875,2.540613,3.250610,4.092211"
step25_specter2_finetune_blend_w0p0300_l2p0,label_blend,0.03,2.0,0.6600146441821186,-0.001245914197114284,0.189176170460111,"{1: 125, 2: 65, 3: 51, 4: 35, 5: 22}","{1: 138, 2: 67, 3: 41, 4: 29, 5: 23}",59,27,32,-0.0847457627118644,0,12,9,13,"1.911159,2.548482,3.254198,4.092242"
step25_deberta_v3_blend_w0p0200_l4p0,label_blend,0.02,4.0,0.6600093433472445,-0.0012512150319884396,0.17575335166816466,"{1: 124, 2: 64, 3: 54, 4: 34, 5: 22}","{1: 141, 2: 62, 3: 42, 4: 30, 5: 23}",48,21,27,-0.125,0,8,9,13,"1.914449,2.538141,3.247458,4.087295"
step25_deberta_v3_resid_w0p0200_l4p0,residual_blend,0.02,4.0,0.6600093433472445,-0.0012512150319884396,0.17575335166816466,"{1: 124, 2: 64, 3: 54, 4: 34, 5: 22}","{1: 141, 2: 62, 3: 42, 4: 30, 5: 23}",48,21,27,-0.125,0,8,9,13,"1.914449,2.538141,3.247458,4.087295"
step25_deberta_v3_blend_w0p0300_l0p5,label_blend,0.03,0.5,0.6599855834694918,-0.0012749749097411556,0.18246476106413786,"{1: 124, 2: 66, 3: 52, 4: 34, 5: 22}","{1: 142, 2: 61, 3: 42, 4: 30, 5: 23}",55,24,31,-0.12727272727272726,0,7,11,14,"1.913574,2.541718,3.249340,4.087459"
step25_specter2_finetune_blend_w0p0200_l2p0,label_blend,0.02,2.0,0.659877600733038,-0.0013829576461948934,0.1858204657621244,"{1: 125, 2: 64, 3: 52, 4: 35, 5: 22}","{1: 138, 2: 67, 3: 41, 4: 30, 5: 22}",55,25,30,-0.09090909090909091,0,10,8,14,"1.912200,2.545144,3.250637,4.105653"
step25_specter2_finetune_resid_w0p0200_l2p0,residual_blend,0.02,2.0,0.659877600733038,-0.0013829576461948934,0.1858204657621244,"{1: 125, 2: 64, 3: 52, 4: 35, 5: 22}","{1: 138, 2: 67, 3: 41, 4: 30, 5: 22}",55,25,30,-0.09090909090909091,0,10,8,14,"1.912200,2.545144,3.250637,4.105653"
step25_openalex_anchor_blend_w0p0150_l2p0,label_blend,0.015,2.0,0.6598701686394379,-0.001390389739794995,0.18582046576212444,"{1: 126, 2: 63, 3: 53, 4: 34, 5: 22}","{1: 138, 2: 67, 3: 41, 4: 29, 5: 23}",60,27,33,-0.1,0,5,10,15,"1.911553,2.543685,3.255027,4.094831"
step25_openalex_anchor_resid_w0p0150_l2p0,residual_blend,0.015,2.0,0.6598701686394379,-0.001390389739794995,0.18582046576212444,"{1: 126, 2: 63, 3: 53, 4: 34, 5: 22}","{1: 138, 2: 67, 3: 41, 4: 29, 5: 23}",60,27,33,-0.1,0,5,10,15,"1.911553,2.543685,3.255027,4.094831"
