name,model,weight,threshold_lambda,oof_qwk,oof_lift_vs_step18b,oof_lift_vs_step25,test_l1,diff_vs_step25_public,diff_vs_step25_private,diff_vs_step25_total,forbidden_vs_step25,pub_dist,pri_dist,changed,improved,worsened,mean_delta_abs_error,risky_promotions,core_demotions,public_changed,private_changed,forbidden_changes,w_e5,w_scincl,w_specter,w_ridge,diff_vs_step36_public,diff_vs_step36_private,diff_vs_step36_total,diff_vs_step39_public,diff_vs_step39_private,diff_vs_step39_total,oof_lift_vs_step36,oof_lift_vs_step39,thresholds
step13retune_e50p43_scincl0p37_specter0p15_ridge0p05_bge0p0275_l4p0,ridge_a3p0,0.0275,4.0,0.6609607643189748,0.00078442857365979,-0.0002997940602581517,0.16568623757420492,8,13,21,1,"{1: 124, 2: 61, 3: 57, 4: 34, 5: 22}","{1: 139, 2: 64, 3: 43, 4: 30, 5: 22}",114,61,53,0.07017543859649122,12,23,9,15,0,0.43,0.37,0.15,0.05,7,11,18,7,10,17,-0.0011372211104480057,-0.0016253422905805337,"1.922364,2.528912,3.223724,4.051210"
step13retune_e50p47_scincl0p33_specter0p15_ridge0p05_bge0p0275_l4p0,ridge_a3p0,0.0275,4.0,0.6609167219667011,0.0007403862213861689,-0.00034383641253177277,0.17239764697017806,8,13,21,0,"{1: 123, 2: 64, 3: 56, 4: 33, 5: 22}","{1: 139, 2: 64, 3: 43, 4: 30, 5: 22}",108,58,50,0.07407407407407407,8,22,13,15,0,0.47,0.33,0.15,0.05,9,11,20,9,10,19,-0.0011812634627216267,-0.0016693846428541548,"1.924900,2.537198,3.226589,4.054151"
step13retune_e50p48_scincl0p34_specter0p13_ridge0p05_bge0p0275_l6p0,ridge_a3p0,0.0275,6.0,0.6609041110101885,0.0007277752648735536,-0.0003564473690443881,0.1723976469701781,8,12,20,0,"{1: 122, 2: 65, 3: 55, 4: 34, 5: 22}","{1: 138, 2: 65, 3: 42, 4: 30, 5: 23}",111,59,52,0.06306306306306306,11,22,13,14,0,0.48,0.34,0.13,0.05,9,10,19,9,9,18,-0.001193874419234242,-0.0016819955993667701,"1.925662,2.535453,3.221584,4.049810"
step13retune_e50p47_scincl0p33_specter0p15_ridge0p05_bge0p0275_l6p0,ridge_a3p0,0.0275,6.0,0.6608876570224818,0.0007113212771667765,-0.0003729013567511652,0.17239764697017806,7,12,19,0,"{1: 123, 2: 64, 3: 55, 4: 34, 5: 22}","{1: 139, 2: 64, 3: 42, 4: 31, 5: 22}",107,57,50,0.06542056074766354,8,22,12,14,0,0.47,0.33,0.15,0.05,8,10,18,8,9,17,-0.0012103284069410192,-0.0016984495870735472,"1.925300,2.536964,3.223100,4.054480"
step13retune_e50p55_scincl0p30_specter0p05_ridge0p10_bge0p0275_l4p0,ridge_a3p0,0.0275,4.0,0.66085754192492,0.0006812061796049873,-0.0004030164543129544,0.16568623757420495,12,14,26,0,"{1: 121, 2: 67, 3: 52, 4: 36, 5: 22}","{1: 136, 2: 64, 3: 46, 4: 29, 5: 23}",146,77,69,0.0547945205479452,32,25,17,16,0,0.55,0.3,0.05,0.1,11,16,27,11,15,26,-0.0012404435045028084,-0.0017285646846353364,"1.931848,2.528096,3.204654,4.032249"
step13retune_e50p45_scincl0p36_specter0p14_ridge0p05_bge0p0275_l4p0,ridge_a3p0,0.0275,4.0,0.6608373969364034,0.0006610611910884412,-0.0004231614428295005,0.16568623757420492,6,13,19,0,"{1: 123, 2: 62, 3: 58, 4: 33, 5: 22}","{1: 139, 2: 64, 3: 43, 4: 30, 5: 22}",110,58,52,0.05454545454545454,13,22,11,15,0,0.45,0.36,0.14,0.05,7,11,18,7,10,17,-0.0012605884930193545,-0.0017487096731518825,"1.921401,2.526836,3.225946,4.052133"
step13retune_e50p50_scincl0p35_specter0p10_ridge0p05_bge0p0275_l4p0,ridge_a3p0,0.0275,4.0,0.6607646518002752,0.0005883160549602362,-0.0004959065789577055,0.1656862375742049,7,11,18,0,"{1: 122, 2: 64, 3: 56, 4: 34, 5: 22}","{1: 138, 2: 64, 3: 43, 4: 30, 5: 23}",112,60,52,0.07142857142857142,15,23,12,13,0,0.5,0.35,0.1,0.05,8,9,17,8,8,16,-0.0013333336291475595,-0.0018214548092800875,"1.924373,2.532370,3.218481,4.052535"
step13retune_e50p50_scincl0p35_specter0p10_ridge0p05_bge0p0275_l6p0,ridge_a3p0,0.0275,6.0,0.6607646518002752,0.0005883160549602362,-0.0004959065789577055,0.1656862375742049,7,11,18,0,"{1: 122, 2: 64, 3: 56, 4: 34, 5: 22}","{1: 138, 2: 64, 3: 43, 4: 30, 5: 23}",112,60,52,0.07142857142857142,15,23,12,13,0,0.5,0.35,0.1,0.05,8,9,17,8,8,16,-0.0013333336291475595,-0.0018214548092800875,"1.924541,2.532507,3.218735,4.048537"
step13retune_e50p46_scincl0p34_specter0p15_ridge0p05_bge0p0275_l4p0,ridge_a3p0,0.0275,4.0,0.6606279739006645,0.000451638155349543,-0.0006325844785683987,0.16568623757420495,6,15,21,0,"{1: 123, 2: 62, 3: 58, 4: 33, 5: 22}","{1: 140, 2: 63, 3: 43, 4: 29, 5: 23}",107,57,50,0.06542056074766354,9,22,11,17,0,0.46,0.34,0.15,0.05,7,13,20,7,12,19,-0.0014700115287582527,-0.0019581327088907807,"1.925571,2.534385,3.224213,4.047654"
step13retune_e50p50_scincl0p32_specter0p13_ridge0p05_bge0p0275_l6p0,ridge_a3p0,0.0275,6.0,0.660614970341804,0.00043863459648907366,-0.0006455880374288681,0.17239764697017806,9,12,21,0,"{1: 122, 2: 65, 3: 55, 4: 33, 5: 23}","{1: 138, 2: 65, 3: 42, 4: 30, 5: 23}",107,57,50,0.06542056074766354,8,20,14,14,0,0.5,0.32,0.13,0.05,10,10,20,10,9,19,-0.001483015087618722,-0.00197113626775125,"1.926309,2.539978,3.228726,4.048350"
step13retune_e50p48_scincl0p34_specter0p13_ridge0p05_bge0p0275_l4p0,ridge_a3p0,0.0275,4.0,0.6605662754014827,0.00038993965616773707,-0.0006942829777502046,0.16904194227219146,7,12,19,0,"{1: 122, 2: 64, 3: 56, 4: 34, 5: 22}","{1: 138, 2: 65, 3: 42, 4: 30, 5: 23}",109,57,52,0.045871559633027525,11,22,12,14,0,0.48,0.34,0.13,0.05,8,10,18,8,9,17,-0.0015317100279400586,-0.0020198312080725866,"1.925134,2.534173,3.220913,4.049060"
step13retune_e50p45_scincl0p30_specter0p20_ridge0p05_bge0p0275_l6p0,ridge_a3p0,0.0275,6.0,0.6605624490352291,0.000386113289914114,-0.0006981093440038277,0.17575335166816466,9,14,23,0,"{1: 124, 2: 64, 3: 54, 4: 34, 5: 22}","{1: 141, 2: 62, 3: 43, 4: 29, 5: 23}",107,57,50,0.06542056074766354,10,24,14,16,0,0.45,0.3,0.2,0.05,10,12,22,8,11,19,-0.0015355363941936817,-0.0020236575743262097,"1.922203,2.537168,3.227129,4.060803"
