candidate,oof_qwk,oof_mae,oof_macro_f1,thresholds,oof_l1_dist,test_combined_l1_dist,label_dist_combined,label_dist_public,label_dist_private,weights
blend_3anchor_srl_60_25_15,0.636420676852177,0.8087409783480353,0.39390151985973826,"[1.8680574264143475, 2.435223664636029, 3.046792515528604, 3.813571152843279]",0.008821170809943851,0.212666103346017,"{1: 262, 2: 140, 3: 94, 4: 60, 5: 40}","{1: 119, 2: 77, 3: 50, 4: 33, 5: 19}","{1: 143, 2: 63, 3: 44, 4: 27, 5: 21}","{'specter_3s': 0.6, 'ridge_5x5': 0.25, 'llm_zs': 0.15}"
blend_4anchor_45_25_15_15,0.6362926728992115,0.8055332798716921,0.4006270656670849,"[1.8758557651699332, 2.4310909752052945, 3.050980998959411, 3.8052027246333835]",0.004811547714514849,0.20931039864803047,"{1: 266, 2: 135, 3: 92, 4: 63, 5: 40}","{1: 123, 2: 72, 3: 47, 4: 37, 5: 19}","{1: 143, 2: 63, 3: 45, 4: 26, 5: 21}","{'specter_3s': 0.45, 'ridge_5x5': 0.25, 'scibert': 0.15, 'llm_zs': 0.15}"
anchor_scibert_only,0.6360064871947411,0.7979149959903769,0.4069803065797328,"[1.8974523246332842, 2.5666820767203964, 3.334241469118573, 4.151635577266864]",0.006415396952686517,0.1723976469701781,"{1: 254, 2: 136, 3: 94, 4: 67, 5: 45}","{1: 123, 2: 58, 3: 55, 4: 41, 5: 21}","{1: 131, 2: 78, 3: 39, 4: 26, 5: 24}",[1.0]
blend_4anchor_50_25_10_15,0.6349683091870539,0.809943865276664,0.3970519815387738,"[1.8684163373564242, 2.4222717024091387, 3.0343435691706837, 3.8007585083923705]",0.007217321571772267,0.2059546939500439,"{1: 264, 2: 136, 3: 92, 4: 63, 5: 41}","{1: 122, 2: 72, 3: 48, 4: 37, 5: 19}","{1: 142, 2: 64, 3: 44, 4: 26, 5: 22}","{'specter_3s': 0.5, 'ridge_5x5': 0.25, 'scibert': 0.1, 'llm_zs': 0.15}"
blend_scincl_ridge_80_19,0.6329448657623717,0.8079390537289495,0.3934306208847471,"[1.9537119240384937, 2.478365317167841, 3.1118025250914316, 3.908615133238559]",0.014434643143544507,0.1690419422721915,"{1: 262, 2: 127, 3: 95, 4: 73, 5: 39}","{1: 123, 2: 65, 3: 54, 4: 37, 5: 19}","{1: 139, 2: 62, 3: 41, 4: 36, 5: 20}","{'scincl': 0.8, 'ridge_5x5': 0.19999999999999996}"
blend_3anchor_srl_70_15_15,0.6323796228171122,0.8083400160384924,0.40234413348175735,"[1.838883619302771, 2.4449784734537054, 3.0881088273260877, 3.9009121007446317]",0.0064153969526864335,0.20931039864803042,"{1: 263, 2: 138, 3: 91, 4: 66, 5: 38}","{1: 122, 2: 72, 3: 51, 4: 35, 5: 18}","{1: 141, 2: 66, 3: 40, 4: 31, 5: 20}","{'specter_3s': 0.7, 'ridge_5x5': 0.15, 'llm_zs': 0.15}"
anchor_scincl_only,0.6268965682752954,0.8191659983961508,0.39151434747995373,"[1.8851198335078856, 2.489549509802204, 3.2184449779793187, 4.043491253310047]",0.012830793905372895,0.16233053287621835,"{1: 263, 2: 124, 3: 98, 4: 70, 5: 41}","{1: 122, 2: 64, 3: 57, 4: 33, 5: 22}","{1: 141, 2: 60, 3: 41, 4: 37, 5: 19}",[1.0]
blend_3anchor_srl_60_20_20,0.6260352985378644,0.8295910184442662,0.3815357716218821,"[1.8331979533826168, 2.403904719078577, 3.0071004349747987, 3.8059961489596974]",0.009623095429029671,0.212666103346017,"{1: 269, 2: 133, 3: 87, 4: 67, 5: 40}","{1: 124, 2: 71, 3: 45, 4: 39, 5: 19}","{1: 145, 2: 62, 3: 42, 4: 28, 5: 21}","{'specter_3s': 0.6, 'ridge_5x5': 0.2, 'llm_zs': 0.2}"
blend_3anchor_srl_55_25_20,0.6259334230102942,0.8303929430633521,0.3797111111126833,"[1.843634492445381, 2.3841981080001413, 2.981881182641779, 3.7743266626199947]",0.006415396952686475,0.21266610334601704,"{1: 270, 2: 132, 3: 87, 4: 68, 5: 39}","{1: 125, 2: 71, 3: 44, 4: 39, 5: 19}","{1: 145, 2: 61, 3: 43, 4: 29, 5: 20}","{'specter_3s': 0.55, 'ridge_5x5': 0.25, 'llm_zs': 0.2}"
blend_4anchor_40_25_15_20,0.6243884299328458,0.8259823576583801,0.3869541025233388,"[1.8588782988447188, 2.420098199309214, 3.011930902610975, 3.7777133112039136]",0.004811547714514808,0.21602180804400362,"{1: 266, 2: 137, 3: 88, 4: 67, 5: 38}","{1: 124, 2: 74, 3: 43, 4: 39, 5: 18}","{1: 142, 2: 63, 3: 45, 4: 28, 5: 20}","{'specter_3s': 0.4, 'ridge_5x5': 0.25, 'scibert': 0.15, 'llm_zs': 0.2}"
