doi_norm,openalex_found,openalex_error,openalex_id,openalex_title,openalex_year,cited_by_count,referenced_works_count,fwci,is_retracted
10.4204/eptcs.345.36,True,,https://openalex.org/W3199853656,Generating Concurrent Programs From Sequential Data Structure Knowledge Using Answer Set Programming,2021.0,1.0,13.0,0.14,False
10.4204/eptcs.345.40,True,,https://openalex.org/W3200387569,Flexible and Explainable Solutions for Multi-Agent Path Finding Problems,2021.0,1.0,18.0,0.0,False
10.4204/eptcs.345.41,True,,https://openalex.org/W3199694019,Comprehensive Multi-Agent Epistemic Planning,2021.0,0.0,27.0,0.0,False
10.4204/eptcs.345.42,True,,https://openalex.org/W3198963286,Automata Techniques for Temporal Answer Set Programming,2021.0,0.0,56.0,0.0,False
10.4204/eptcs.345.43,True,,https://openalex.org/W3200306105,Quantitative and Stream Extensions of Answer Set Programming,2021.0,0.0,51.0,0.0,False
10.4204/eptcs.345.44,True,,https://openalex.org/W3200411040,Graph Based Answer Set Programming Solver Systems,2021.0,2.0,25.0,0.28,False
10.4204/eptcs.345.45,True,,https://openalex.org/W3198966284,Compilation of Aggregates in ASP,2021.0,0.0,26.0,0.0,False
10.4204/eptcs.345.46,True,,https://openalex.org/W3200443802,Product Configuration in Answer Set Programming,2021.0,4.0,37.0,0.42,False
10.4204/eptcs.345.47,True,,https://openalex.org/W3200850997,Formalisation of Action with Durations in Answer Set Programming,2021.0,0.0,31.0,0.0,False
10.4204/eptcs.364.1,True,,https://openalex.org/W4289766669,Tree-Like Justification Systems are Consistent,2022.0,0.0,16.0,0.0,False
10.4204/eptcs.364.10,True,,https://openalex.org/W4289766980,Knowledge Authoring with Factual English,2022.0,1.0,14.0,0.1388,False
10.4204/eptcs.364.2,True,,https://openalex.org/W4289766528,A Preliminary Data-driven Analysis of Common Errors Encountered by Novice SPARC Programmers,2022.0,2.0,20.0,0.2776,False
10.4204/eptcs.364.35,True,,https://openalex.org/W4289767052,A Model-Oriented Approach for Lifting Symmetries in Answer Set Programming,2022.0,0.0,32.0,0.0,False
10.4204/eptcs.364.36,True,,https://openalex.org/W4289766963,Tools and Methodologies for Verifying Answer Set Programs,2022.0,0.0,14.0,0.0,False
10.4204/eptcs.364.37,True,,https://openalex.org/W4289767131,An ASP Framework for Efficient Urban Traffic Optimization,2022.0,0.0,33.0,0.0,False
10.4204/eptcs.364.38,True,,https://openalex.org/W4289766943,Planning and Scheduling in Digital Health with Answer Set Programming,2022.0,0.0,27.0,0.0,False
10.4204/eptcs.364.39,True,,https://openalex.org/W4289766984,Decomposition Strategies for Solving Scheduling Problems in Industrial Applications,2022.0,1.0,20.0,0.1353,False
10.4204/eptcs.364.6,True,,https://openalex.org/W4289766832,A Fixpoint Characterization of Three-Valued Disjunctive Hybrid MKNF Knowledge Bases,2022.0,0.0,25.0,0.0,False
10.4204/eptcs.364.7,True,,https://openalex.org/W4289767033,An Iterative Fixpoint Semantics for MKNF Hybrid Knowledge Bases with Function Symbols,2022.0,1.0,20.0,0.138,False
10.4204/eptcs.364.8,True,,https://openalex.org/W3009911237,Jumping Evaluation of Nested Regular Path Queries,2022.0,0.0,13.0,0.0,False
10.4204/eptcs.364.9,True,,https://openalex.org/W4289766521,"A Gaze into the Internal Logic of Graph Neural Networks, with Logic",2022.0,1.0,30.0,0.138,False
